utt_id,ref,hyp,cer
SD2100005-SDRW2100000006.1.1.86,혹시 한적한 장소가 또 따로 있을까,그서 는 지하는 지서가  다 있을,0.6842105263157895
SD2100022-SDRW2100000021.1.1.74,먹는 거 뭐 식품,는  거 어 어 어 제 이,1.1111111111111112
SD2100023-SDRW2100000024.1.1.360,풀 빌라 꼭 아니어도,라고가 아니어도,0.45454545454545453
SD2100023-SDRW2100000024.1.1.372,아무튼 name4이한테도 한번 물어보긴 할게 응,아 면 그 그 이 제 나 아 면 들어 기는 해게,0.8076923076923077
SD2100024-SDRW2100000023.1.1.260,아니 그러다,아니 그나,0.3333333333333333
SD2100024-SDRW2100000024.1.1.128,제주도 옛날 돌담집 같은 집이고 한옥이야,제기도아도 이에에 도 다 지 다은 지이고 하  이아,0.7727272727272727
SD2100032-SDRW2100000032.1.1.26,3달 4달 전쯤에 강원도 쪽으로 한 번 놀러가서,제 들 나 다 이 에에 그 가은 도   이 하 면은 도 가서,0.8461538461538461
SD2100037-SDRW2100000037.1.1.66,당뇨 수치가 이제 오버가 된 거예요 평균치보다,다   서 지가 이 이제 어다가 는 거 이에이 어 이 어다,0.8
SD2100068-SDRW2100000067.1.1.71,요즘 양양 사람 많다던데,아이 이지 이 그 그 이 이 이다는데,1.1538461538461537
SD2100071-SDRW2100000071.1.1.149,어 돌려 입다기 보다는 그냥 내가 주는 거야,어 도 있다 기 거다는 그나 나가 는 거,0.375
SD2100071-SDRW2100000071.1.1.192,내가 여자인 친구랑 약속을 잡은 적이 없어서,제가 그 어다  이 이이라 이 가 을 다은 지이 어서,0.75
SD2100099-SDRW2100000099.1.1.50,함으로서 또 이제 그것도 힐링 되고,하을 어서 도 이제 그거도 이 해이 하고,0.5789473684210527
SD2100099-SDRW2100000100.1.1.93,당연한 건 맞지,그 다 거은 아지,0.75
SD2100101-SDRW2100000101.1.1.269,그래서 그냥,그서 그,0.3333333333333333
SD2100102-SDRW2100000101.1.1.16,어 추리닝을 많이 사는 것 같아,어 라이 을 이 하는 거 아,0.4117647058823529
SD2100105-SDRW2100000106.1.1.279,안 친하면,아 지하면,0.4
