utt_id,ref,hyp,cer
SD2100005-SDRW2100000006.1.1.86,혹시 한적한 장소가 또 따로 있을까,혹시 한적한 장소가 또 따로 있을까,0.0
SD2100022-SDRW2100000021.1.1.74,먹는 거 뭐 식품,먹는 거 뭐 식품,0.0
SD2100023-SDRW2100000024.1.1.360,풀 빌라 꼭 아니어도,풀빌라고 아니어도,0.2727272727272727
SD2100023-SDRW2100000024.1.1.372,아무튼 name4이한테도 한번 물어보긴 할게 응,아무튼 name1이한테도 한번 물어보긴 할게 응,0.038461538461538464
SD2100024-SDRW2100000023.1.1.260,아니 그러다,아니 그러다,0.0
SD2100024-SDRW2100000024.1.1.128,제주도 옛날 돌담집 같은 집이고 한옥이야,제주도 옛날 돌담집 같은 집이고 한옥이야,0.0
SD2100032-SDRW2100000032.1.1.26,3달 4달 전쯤에 강원도 쪽으로 한 번 놀러가서,세 달 네 달 전쯤에 강원도 쪽으로 한번 놀러 가서,0.23076923076923078
SD2100037-SDRW2100000037.1.1.66,당뇨 수치가 이제 오버가 된 거예요 평균치보다,당뇨 수치가 인제 오버가 된 거예요 평균치보다,0.04
SD2100068-SDRW2100000067.1.1.71,요즘 양양 사람 많다던데,요즘 양양 사람 많다던데,0.0
SD2100071-SDRW2100000071.1.1.149,어 돌려 입다기 보다는 그냥 내가 주는 거야,어 돌려 입다기보다는 그냥 내가 주는 거야,0.041666666666666664
SD2100071-SDRW2100000071.1.1.192,내가 여자인 친구랑 약속을 잡은 적이 없어서,내가 여자인 친구랑 약속을 잡은 적이 없어서,0.0
SD2100099-SDRW2100000099.1.1.50,함으로서 또 이제 그것도 힐링 되고,함으로써 또 인제 그것도 힐링되고,0.15789473684210525
SD2100099-SDRW2100000100.1.1.93,당연한 건 맞지,당연한 건 맞지,0.0
SD2100101-SDRW2100000101.1.1.269,그래서 그냥,그래서 그냥,0.0
SD2100102-SDRW2100000101.1.1.16,어 추리닝을 많이 사는 것 같아,어 추리닝을 많이 사는 것 같아,0.0
SD2100105-SDRW2100000106.1.1.279,안 친하면,안 친하면,0.0
SD2100125-SDRW2100000126.1.1.285,젊었을 때 기억나는지 모르겠네요 뭐냐면,저 젊었을때 기억나 나니고 오리겠네 뭐면,0.5238095238095238
SD2100145-SDRW2100000145.1.1.50,어 진짜 바쁘겠다,어 이 좀 퍼 보겠다,0.6666666666666666
SD2100145-SDRW2100000146.1.1.204,아 그때 영화 촬영장있었나,아 그때 영화 촬영장 있었나,0.07142857142857142
SD2100145-SDRW2100000146.1.1.55,넌 어떤 식으로,넌 어떤 식으로,0.0
SD2100148-SDRW2100000147.1.1.276,짧게 갈 수도 있고 길게 갈 수도 있는데,짧게 갈 수도 있고 길게 갈 수도 있는데,0.0
