utt_id,ref_baseline,hyp_baseline,cer_baseline,ref_acoustic,hyp_acoustic,cer_acoustic,cer_diff,text,num_chars,num_tokens,condition
SD2100005-SDRW2100000006.1.1.86,혹시 한적한 장소가 또 따로 있을까,혹시 한적한 장소가 또 따로 있을까,0.0,혹시 한적한 장소가 또 따로 있을까,혹시 한적한 장소가 또 따로 있을까,0.0,0.0,혹시 한적한 장소가 또 따로 있을까,14,6,normal
SD2100022-SDRW2100000021.1.1.74,먹는 거 뭐 식품,먹는 거 뭐 식품,0.0,먹는 거 뭐 식품,먹는 거 뭐 식품,0.0,0.0,먹는 거 뭐 식품,6,4,normal
SD2100023-SDRW2100000024.1.1.360,풀 빌라 꼭 아니어도,풀 빌라고 아니어도,0.1818181818181818,풀 빌라 꼭 아니어도,풀빌라고 아니어도,0.2727272727272727,-0.0909090909090909,풀 빌라 꼭 아니어도,8,4,normal
SD2100023-SDRW2100000024.1.1.372,아무튼 name4이한테도 한번 물어보긴 할게 응,아무튼 name2이한테 한번 물어보긴 할게 응,0.0769230769230769,아무튼 name4이한테도 한번 물어보긴 할게 응,아무튼 name1이한테도 한번 물어보긴 할게 응,0.0384615384615384,0.0384615384615385,아무튼 name4이한테도 한번 물어보긴 할게 응,21,6,normal
SD2100024-SDRW2100000023.1.1.260,아니 그러다,아니 그래나,0.3333333333333333,아니 그러다,아니 그러다,0.0,0.3333333333333333,아니 그러다,5,2,low_info
SD2100024-SDRW2100000024.1.1.128,제주도 옛날 돌담집 같은 집이고 한옥이야,제주도 옛날 돌다집 같은 집이고 한옥이야,0.0454545454545454,제주도 옛날 돌담집 같은 집이고 한옥이야,제주도 옛날 돌담집 같은 집이고 한옥이야,0.0,0.0454545454545454,제주도 옛날 돌담집 같은 집이고 한옥이야,17,6,normal
SD2100032-SDRW2100000032.1.1.26,3달 4달 전쯤에 강원도 쪽으로 한 번 놀러가서,세 달 네 달 전쯤에 강원도 쪽으로 한번 놀러 가서,0.2307692307692307,3달 4달 전쯤에 강원도 쪽으로 한 번 놀러가서,세 달 네 달 전쯤에 강원도 쪽으로 한번 놀러 가서,0.2307692307692307,0.0,3달 4달 전쯤에 강원도 쪽으로 한 번 놀러가서,19,8,normal
SD2100037-SDRW2100000037.1.1.66,당뇨 수치가 이제 오버가 된 거예요 평균치보다,당뇨 수치가 인제 오버가 된 거예요 평균치보다,0.04,당뇨 수치가 이제 오버가 된 거예요 평균치보다,당뇨 수치가 인제 오버가 된 거예요 평균치보다,0.04,0.0,당뇨 수치가 이제 오버가 된 거예요 평균치보다,19,7,normal
SD2100068-SDRW2100000067.1.1.71,요즘 양양 사람 많다던데,아 요즘 양양 사람 많다던데,0.1538461538461538,요즘 양양 사람 많다던데,요즘 양양 사람 많다던데,0.0,0.1538461538461538,요즘 양양 사람 많다던데,10,4,normal
SD2100071-SDRW2100000071.1.1.149,어 돌려 입다기 보다는 그냥 내가 주는 거야,어 돌려 입다기보다는 그냥 내가 주는 거야,0.0416666666666666,어 돌려 입다기 보다는 그냥 내가 주는 거야,어 돌려 입다기보다는 그냥 내가 주는 거야,0.0416666666666666,0.0,어 돌려 입다기 보다는 그냥 내가 주는 거야,17,8,normal
